Path;SteerAngle;Throttle;Brake;Speed;X_Position;Y_Position;Pitch;Yaw;Roll
C:\Users\Ian Suarez\RoboND-Rover-Project\mytest_dataset\IMG\robocam_2018_04_16_00_28_40_943.jpg;0;0;1;0;99.66999;85.58897;0.0002357992;56.82556;-3.619445E-07
C:\Users\Ian Suarez\RoboND-Rover-Project\mytest_dataset\IMG\robocam_2018_04_16_00_28_40_980.jpg;0;0;0;0;99.66999;85.58897;0.0002359428;56.82556;-9.644948E-08
C:\Users\Ian Suarez\RoboND-Rover-Project\mytest_dataset\IMG\robocam_2018_04_16_00_28_41_050.jpg;-12.74395;0;0;0;99.66999;85.58897;0.0002366669;53.49632;1.275933E-05
C:\Users\Ian Suarez\RoboND-Rover-Project\mytest_dataset\IMG\robocam_2018_04_16_00_28_41_117.jpg;-8.729746;0;0;0;99.66999;85.58897;0.0002372945;51.81082;1.771581E-05
C:\Users\Ian Suarez\RoboND-Rover-Project\mytest_dataset\IMG\robocam_2018_04_16_00_28_41_180.jpg;-4.65114;0;0;0;99.66999;85.58897;0.000237348;50.73207;2.04278E-05
C:\Users\Ian Suarez\RoboND-Rover-Project\mytest_dataset\IMG\robocam_2018_04_16_00_28_41_248.jpg;-0.6629869;0;0;0;99.66999;85.58897;0.0002374736;50.35536;2.020016E-05
C:\Users\Ian Suarez\RoboND-Rover-Project\mytest_dataset\IMG\robocam_2018_04_16_00_28_41_315.jpg;0;0;0;0;99.66999;85.58897;0.0002371917;50.35536;1.720574E-05
C:\Users\Ian Suarez\RoboND-Rover-Project\mytest_dataset\IMG\robocam_2018_04_16_00_28_41_382.jpg;0;0;0;0;99.66999;85.58897;0.0002370843;50.35536;1.467126E-05
C:\Users\Ian Suarez\RoboND-Rover-Project\mytest_dataset\IMG\robocam_2018_04_16_00_28_41_447.jpg;0;0;0;0;99.66999;85.58897;0.0002368666;50.35536;1.181343E-05
C:\Users\Ian Suarez\RoboND-Rover-Project\mytest_dataset\IMG\robocam_2018_04_16_00_28_41_514.jpg;0;0;0;0;99.66999;85.58897;0.000236838;50.35536;8.116204E-06
